case,file_name,frames,input_dtype,raw_negative_rate,denoised_negative_rate,after_iqr_negative_rate,after_cubic_negative_rate,denoise_to_iqr_sign_agreement,denoise_to_iqr_slope_agreement,denoised_zero_crossing_rate,iqr_zero_crossing_rate,signed_iqr_magnitude_gate
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_09.npy,1000,float64,0.0,0.5041407407407408,0.0,0.008074074074074074,0.4958592592592593,0.49619625158567937,0.13113113113113112,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_10.npy,1000,float64,0.0,0.4996074074074074,0.0,0.008866666666666667,0.5003925925925926,0.5039095346987851,0.12737923108293478,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_11.npy,1000,float64,0.0,0.4935703703703704,0.0,0.008748148148148149,0.5064296296296297,0.5078088363839629,0.12601490379268157,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_12.npy,1000,float64,0.0,0.49641111111111114,0.0,0.009577777777777777,0.5035888888888889,0.5036365903329039,0.14105957809661512,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_13.npy,1000,float64,0.0,0.48848148148148146,0.0,0.009237037037037037,0.5115185185185185,0.5136053394539744,0.14492270047825603,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_14.npy,1000,float64,0.0,0.5051814814814815,0.0,0.007533333333333334,0.4948185185185185,0.494701577467761,0.11299447595743892,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_15.npy,1000,float64,0.0,0.5171629629629629,0.0,0.01011111111111111,0.48283703703703706,0.4826200415554028,0.14587550513476438,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_16.npy,1000,float64,0.0,0.5018777777777778,0.0,0.008348148148148148,0.49812222222222224,0.4971577353556682,0.12140659177696214,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_17.npy,1000,float64,0.0,0.5083814814814814,0.0,0.01117037037037037,0.4916185185185185,0.49004093488043104,0.14652800949097244,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_18.npy,1000,float64,0.0,0.4918222222222222,0.0,0.011103703703703704,0.5081777777777777,0.5116096922965785,0.15644904163422682,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_19.npy,1000,float64,0.0,0.49954444444444446,0.0,0.010066666666666666,0.5004555555555555,0.5046871959618004,0.14991658324991658,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_03_20.npy,1000,float64,0.0,0.49454444444444445,0.0,0.007948148148148149,0.5054555555555555,0.5062972669412206,0.1262633003373744,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_01.npy,1000,float64,0.0,0.5044222222222222,0.0,0.009814814814814814,0.4955777777777778,0.4928005122314081,0.14724353983613242,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_02.npy,1000,float64,0.0,0.5008518518518519,0.0,0.0108,0.4991481481481482,0.5012785992569082,0.15023912801690578,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_03.npy,1000,float64,0.0,0.4978888888888889,0.0,0.009029629629629629,0.5021111111111111,0.5014398468183908,0.1422570718867015,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_04.npy,1000,float64,0.0,0.49954814814814813,0.0,0.011703703703703704,0.5004518518518518,0.5010194255104651,0.16228079931783634,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_05.npy,1000,float64,0.0,0.5028518518518519,0.0,0.010703703703703703,0.4971481481481482,0.4972370913902505,0.1511585659733808,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_06.npy,1000,float64,0.0,0.49366666666666664,0.0,0.011096296296296297,0.5063333333333333,0.5063657516172806,0.14900456011567123,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_07.npy,1000,float64,0.0,0.4972814814814815,0.0,0.010703703703703703,0.5027185185185186,0.5049748626652338,0.15785415044674303,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_08.npy,1000,float64,0.0,0.5124518518518518,0.0,0.010503703703703704,0.4875481481481482,0.48811438985701266,0.14613131650168687,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_09.npy,1000,float64,0.0,0.5045259259259259,0.0,0.010474074074074075,0.49547407407407407,0.4945702995384755,0.15801356912468023,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_10.npy,1000,float64,0.0,0.49372222222222223,0.0,0.012007407407407408,0.5062777777777778,0.5082655411461702,0.17120453787120454,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_11.npy,1000,float64,0.0,0.5133222222222222,0.0,0.011607407407407407,0.48667777777777776,0.4847024276828311,0.1570867163459756,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_12.npy,1000,float64,0.0,0.5057888888888888,0.0,0.011488888888888889,0.4942111111111111,0.4918690156595341,0.16590293997701405,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_13.npy,1000,float64,0.0,0.48248148148148146,0.0,0.011437037037037037,0.5175185185185185,0.5190010529931046,0.15930374819263707,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_14.npy,1000,float64,0.0,0.4883037037037037,0.0,0.012,0.5116962962962963,0.5143099323777054,0.1619545471397323,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_15.npy,1000,float64,0.0,0.49197407407407406,0.0,0.011140740740740741,0.5080259259259259,0.5103632438165221,0.165331998665332,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_16.npy,1000,float64,0.0,0.5025851851851851,0.0,0.009844444444444444,0.4974148148148148,0.49682914253239546,0.1370518666814963,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_17.npy,1000,float64,0.0,0.4966259259259259,0.0,0.010948148148148148,0.5033740740740741,0.505448680418368,0.1474177881585289,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_18.npy,1000,float64,0.0,0.5095,0.0,0.011340740740740742,0.4905,0.4914627055029867,0.16131687242798354,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_19.npy,1000,float64,0.0,0.4837740740740741,0.0,0.0122,0.516225925925926,0.5190993377483444,0.16739702665628592,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_04_20.npy,1000,float64,0.0,0.5062888888888889,0.0,0.010866666666666667,0.4937111111111111,0.4932592402696304,0.15131056982908836,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_01.npy,1000,float64,0.0,0.4913111111111111,0.0,0.007614814814814815,0.5086888888888889,0.5114600171061903,0.1123493864234605,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_02.npy,1000,float64,0.0,0.48535185185185187,0.0,0.007422222222222222,0.5146481481481482,0.517894918458284,0.11507062618173729,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_03.npy,1000,float64,0.0,0.5074111111111111,0.0,0.007044444444444444,0.4925888888888889,0.4943866943866944,0.10501241982723464,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_04.npy,1000,float64,0.0,0.4991851851851852,0.0,0.007518518518518518,0.5008148148148148,0.5014912030289826,0.11320579839098358,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_05.npy,1000,float64,0.0,0.4918962962962963,0.0,0.007303703703703704,0.5081037037037037,0.506175848569843,0.11668705742779817,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_06.npy,1000,float64,0.0,0.5036111111111111,0.0,0.008081481481481481,0.4963888888888889,0.49334080607109454,0.12013494976457939,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_07.npy,1000,float64,0.0,0.49522962962962963,0.0,0.007607407407407407,0.5047703703703704,0.5056364631193926,0.110888666444222,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_08.npy,1000,float64,0.0,0.49642592592592594,0.0,0.006918518518518518,0.5035740740740741,0.5055139693464495,0.1050235420605791,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_09.npy,1000,float64,0.0,0.5073740740740741,0.0,0.0072148148148148145,0.4926259259259259,0.4950527741611103,0.11434397360323287,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_10.npy,1000,float64,0.0,0.48315555555555556,0.0,0.007118518518518519,0.5168444444444444,0.5177030490037132,0.11230119007896786,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_11.npy,1000,float64,0.0,0.5017814814814815,0.0,0.007711111111111111,0.4982185185185185,0.49856972005503675,0.1211359507655804,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_12.npy,1000,float64,0.0,0.5040555555555556,0.0,0.007614814814814815,0.49594444444444447,0.4959489691033315,0.12369777184592,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_13.npy,1000,float64,0.0,0.5185777777777778,0.0,0.008592592592592593,0.4814222222222222,0.4789298742802014,0.13069365661958254,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_14.npy,1000,float64,0.0,0.5058185185185186,0.0,0.010303703703703704,0.4941814814814815,0.49211455680853644,0.15003522040559078,0.0,
bp_fs200_legacy_abs,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_05_15.npy,1000,float64,0.0,0.5132481481481481,0.0,0.008177777777777779,0.4867518518518518,0.48698277605879664,0.12145478812145478,0.0,
