condition,model,model_seed,epochs,best_val_acc,test_acc,delta_vs_linear_pp,delta_vs_robust_pp,preprocess_seconds,training_seconds,run_id
linear_reference,mlpmodel,42,60,0.937862202189311,0.9586670938801666,0.0,28.54854213393143,3139.845315694809,2371.0779304504395,c3c6d892d3c845509caa9c537d3efbeb9ae5e9699cda2559a0e6fbbfd5bde7f8
robust_first50,mlpmodel,42,60,0.45750160978750803,0.6731816725408523,-28.54854213393143,0.0,1766.4054737091064,2364.5186018943787,c3c6d892d3c845509caa9c537d3efbeb9ae5e9699cda2559a0e6fbbfd5bde7f8
no_calibration,mlpmodel,42,60,0.9143593045717965,0.9583466837552067,-0.0320410124959869,28.516501121435446,1401.0143280029297,2372.4815797805786,c3c6d892d3c845509caa9c537d3efbeb9ae5e9699cda2559a0e6fbbfd5bde7f8
