train_loss,train_acc,val_loss,val_acc,epoch,lr
1.6308961684341308,40.39420756234915,2.332389534939817,22.343850611719255,39.1076123714447,0.0003
1.1181075804289176,59.41271118262269,2.1945155542739654,21.989697359948487,39.05991768836975,0.0003
0.8766380359545314,68.0852775543041,2.1012575884289073,28.461043142305215,39.30629253387451,0.0003
0.7116597572450952,73.6283185840708,1.462310936966406,50.09658725048293,39.36265182495117,0.0003
0.621854982362672,77.08769106999196,3.039035026931563,30.94011590470058,39.39710307121277,0.0003
0.5155174687133138,80.8688656476267,1.5937318165714,49.0985189954926,39.24356126785278,0.0003
0.46091735922129806,83.01689460981497,2.8456380031067408,37.475853187379265,39.42716336250305,0.0003
0.4174535398318321,84.40064360418343,1.691256883485196,50.579523502897615,39.546769857406616,0.0003
0.37819646483741265,85.87288817377313,2.489948800858155,36.92852543464263,39.476144552230835,0.0003
0.34332050034238365,87.03137570394208,1.7388770919765724,46.973599484868,39.446107387542725,0.0003
0.272710816455482,90.08849557522124,0.6083889099921016,79.26593689632969,39.36110591888428,2.9999999999999997e-05
0.24904733783088187,91.02172164119067,0.6557149351733399,78.52543464262718,39.73131561279297,2.9999999999999997e-05
0.24146891378723415,91.2711182622687,0.6140734333369859,79.6844816484224,39.65998673439026,2.9999999999999997e-05
0.23859534953164172,91.53660498793242,0.6215708251090221,79.6844816484224,39.38729429244995,2.9999999999999997e-05
0.22907967060588583,91.98712791633146,0.5847988354746212,80.81133290405667,39.47486400604248,2.9999999999999997e-05
0.2153446692089256,92.21238938053098,0.5663709877537418,80.9079201545396,39.560972929000854,2.9999999999999997e-05
0.21537996661922,92.1962992759453,0.5913389751214488,81.00450740502254,39.5277624130249,2.9999999999999997e-05
0.21270281096091695,92.51810136765889,0.5868519864099656,80.71474565357373,39.46622014045715,2.9999999999999997e-05
0.20470657434707099,92.69509251810136,0.6054767821672572,79.87765614938829,39.49099349975586,2.9999999999999997e-05
0.20214454657304506,92.92035398230088,0.5785398156629816,80.77913715389569,39.38805079460144,2.9999999999999997e-05
