dataset,denoise,outliers,normalize,interpolate,linear_test_acc,robust_test_acc,robust_minus_linear,linear_combo_id,robust_combo_id
widar,bandpass_0.5-50,iqr,z-score,linear15,0.7090909090909091,0.6494949494949495,-0.05959595959595965,widar_193,widar_217
widar,bandpass_0.5-50,iqr,z-score,cubic15,0.704040404040404,0.6333333333333333,-0.07070707070707072,widar_194,widar_218
widar,bandpass_0.5-50,iqr,z-score,nearest15,0.6898989898989899,0.6777777777777778,-0.012121212121212088,widar_195,widar_219
widar,bandpass_0.5-50,iqr,z-score,decimate15,0.697979797979798,0.6262626262626263,-0.07171717171717173,widar_196,widar_220
widar,bandpass_0.5-50,iqr,min-max,linear15,0.6777777777777778,0.5747474747474748,-0.10303030303030303,widar_197,widar_221
widar,bandpass_0.5-50,iqr,min-max,cubic15,0.6747474747474748,0.5777777777777777,-0.09696969696969704,widar_198,widar_222
widar,bandpass_0.5-50,iqr,min-max,nearest15,0.6757575757575758,0.597979797979798,-0.07777777777777783,widar_199,widar_223
widar,bandpass_0.5-50,iqr,min-max,decimate15,0.6696969696969697,0.5616161616161616,-0.10808080808080811,widar_200,widar_224
widar,bandpass_0.5-50,outlier_z-score,z-score,linear15,0.692929292929293,0.6444444444444445,-0.048484848484848464,widar_225,widar_249
widar,bandpass_0.5-50,outlier_z-score,z-score,cubic15,0.703030303030303,0.6383838383838384,-0.06464646464646462,widar_226,widar_250
widar,bandpass_0.5-50,outlier_z-score,z-score,nearest15,0.6909090909090909,0.6575757575757576,-0.033333333333333326,widar_227,widar_251
widar,bandpass_0.5-50,outlier_z-score,z-score,decimate15,0.695959595959596,0.6323232323232323,-0.06363636363636371,widar_228,widar_252
widar,bandpass_0.5-50,outlier_z-score,min-max,linear15,0.6838383838383838,0.5959595959595959,-0.08787878787878789,widar_229,widar_253
widar,bandpass_0.5-50,outlier_z-score,min-max,cubic15,0.6808080808080809,0.597979797979798,-0.08282828282828292,widar_230,widar_254
widar,bandpass_0.5-50,outlier_z-score,min-max,nearest15,0.6909090909090909,0.6161616161616161,-0.07474747474747478,widar_231,widar_255
widar,bandpass_0.5-50,outlier_z-score,min-max,decimate15,0.6828282828282828,0.5858585858585859,-0.09696969696969693,widar_232,widar_256
widar,hampel_w5_s3,iqr,z-score,linear15,0.696969696969697,0.6484848484848484,-0.048484848484848575,widar_257,widar_281
widar,hampel_w5_s3,iqr,z-score,cubic15,0.6989898989898989,0.6383838383838384,-0.06060606060606055,widar_258,widar_282
widar,hampel_w5_s3,iqr,z-score,nearest15,0.7191919191919192,0.6262626262626263,-0.09292929292929286,widar_259,widar_283
widar,hampel_w5_s3,iqr,z-score,decimate15,0.6737373737373737,0.6161616161616161,-0.05757575757575761,widar_260,widar_284
widar,hampel_w5_s3,iqr,min-max,linear15,0.6383838383838384,0.5555555555555556,-0.0828282828282828,widar_261,widar_285
widar,hampel_w5_s3,iqr,min-max,cubic15,0.6181818181818182,0.5636363636363636,-0.054545454545454564,widar_262,widar_286
widar,hampel_w5_s3,iqr,min-max,nearest15,0.6484848484848484,0.5787878787878787,-0.0696969696969697,widar_263,widar_287
widar,hampel_w5_s3,iqr,min-max,decimate15,0.6303030303030303,0.5515151515151515,-0.07878787878787874,widar_264,widar_288
widar,hampel_w5_s3,outlier_z-score,z-score,linear15,0.701010101010101,0.6363636363636364,-0.06464646464646462,widar_289,widar_313
widar,hampel_w5_s3,outlier_z-score,z-score,cubic15,0.7181818181818181,0.6262626262626263,-0.09191919191919184,widar_290,widar_314
widar,hampel_w5_s3,outlier_z-score,z-score,nearest15,0.7313131313131314,0.6383838383838384,-0.09292929292929297,widar_291,widar_315
widar,hampel_w5_s3,outlier_z-score,z-score,decimate15,0.6767676767676768,0.6343434343434343,-0.042424242424242475,widar_292,widar_316
widar,hampel_w5_s3,outlier_z-score,min-max,linear15,0.6373737373737374,0.5676767676767677,-0.0696969696969697,widar_293,widar_317
widar,hampel_w5_s3,outlier_z-score,min-max,cubic15,0.6393939393939394,0.5565656565656566,-0.0828282828282828,widar_294,widar_318
widar,hampel_w5_s3,outlier_z-score,min-max,nearest15,0.6272727272727273,0.5757575757575758,-0.051515151515151514,widar_295,widar_319
widar,hampel_w5_s3,outlier_z-score,min-max,decimate15,0.6181818181818182,0.5505050505050505,-0.06767676767676767,widar_296,widar_320
gait,wavelet,iqr,z-score,linear15,0.8965075296379366,0.555911566805511,-0.34059596283242555,gait_001,gait_025
gait,wavelet,iqr,z-score,cubic15,0.9067606536366549,0.5472604934315924,-0.3595001602050625,gait_002,gait_026
gait,wavelet,iqr,z-score,nearest15,0.9067606536366549,0.7487984620314002,-0.1579621916052547,gait_003,gait_027
gait,wavelet,iqr,z-score,decimate15,0.8936238385132971,0.35116949695610383,-0.5424543415571932,gait_004,gait_028
gait,wavelet,iqr,min-max,linear15,0.950336430631208,0.4110861903236142,-0.5392502403075938,gait_005,gait_029
gait,wavelet,iqr,min-max,cubic15,0.9509772508811278,0.40852290932393465,-0.5424543415571932,gait_006,gait_030
gait,wavelet,iqr,min-max,nearest15,0.9561038128804871,0.4742069849407241,-0.48189682793976296,gait_007,gait_031
gait,wavelet,iqr,min-max,decimate15,0.9448894585068888,0.3300224287087472,-0.6148670297981416,gait_008,gait_032
gait,wavelet,outlier_z-score,z-score,linear15,0.9096443447612944,0.5796219160525473,-0.3300224287087471,gait_033,gait_057
gait,wavelet,outlier_z-score,z-score,cubic15,0.924703620634412,0.5600768984299904,-0.3646267222044216,gait_034,gait_058
gait,wavelet,outlier_z-score,z-score,nearest15,0.9041973726369753,0.7417494392822813,-0.16244793335469399,gait_035,gait_059
gait,wavelet,outlier_z-score,z-score,decimate15,0.9102851650112144,0.35181031720602374,-0.5584748478051906,gait_036,gait_060
gait,wavelet,outlier_z-score,min-max,linear15,0.949375200256328,0.4488945850688882,-0.5004806151874399,gait_037,gait_061
gait,wavelet,outlier_z-score,min-max,cubic15,0.9490547901313682,0.4380006408202499,-0.5110541493111183,gait_038,gait_062
gait,wavelet,outlier_z-score,min-max,nearest15,0.9480935597564883,0.5414931111823134,-0.406600448574175,gait_039,gait_063
gait,wavelet,outlier_z-score,min-max,decimate15,0.9426465876321691,0.34283883370714513,-0.599807753925024,gait_040,gait_064
gait,butterworth_o5_c0.3,iqr,z-score,linear15,0.9551425825056071,0.5866709388016661,-0.36847164370394103,gait_065,gait_089
gait,butterworth_o5_c0.3,iqr,z-score,cubic15,0.9522588913809676,0.5850688881768664,-0.3671900032041012,gait_066,gait_090
gait,butterworth_o5_c0.3,iqr,z-score,nearest15,0.9532201217558475,0.6395386094200577,-0.3136815123357898,gait_067,gait_091
gait,butterworth_o5_c0.3,iqr,z-score,decimate15,0.9564242230054469,0.4706824735661647,-0.4857417494392822,gait_068,gait_092
gait,butterworth_o5_c0.3,iqr,min-max,linear15,0.9484139698814482,0.2963793655879526,-0.6520346042934957,gait_069,gait_093
gait,butterworth_o5_c0.3,iqr,min-max,cubic15,0.9490547901313682,0.3293816084588273,-0.6196731816725409,gait_070,gait_094
gait,butterworth_o5_c0.3,iqr,min-max,nearest15,0.9480935597564883,0.38769625120153794,-0.5603973085549504,gait_071,gait_095
gait,butterworth_o5_c0.3,iqr,min-max,decimate15,0.9471323293816084,0.2707465555911567,-0.6763857737904517,gait_072,gait_096
gait,butterworth_o5_c0.3,outlier_z-score,z-score,linear15,0.9535405318808075,0.5860301185517462,-0.3675104133290612,gait_097,gait_121
gait,butterworth_o5_c0.3,outlier_z-score,z-score,cubic15,0.9541813521307273,0.5879525793015059,-0.3662287728292214,gait_098,gait_122
gait,butterworth_o5_c0.3,outlier_z-score,z-score,nearest15,0.9567446331304069,0.6635693687920539,-0.29317526433835306,gait_099,gait_123
gait,butterworth_o5_c0.3,outlier_z-score,z-score,decimate15,0.9570650432553669,0.47837231656520346,-0.47869272669016344,gait_100,gait_124
gait,butterworth_o5_c0.3,outlier_z-score,min-max,linear15,0.950336430631208,0.3345081704581865,-0.6158282601730215,gait_101,gait_125
gait,butterworth_o5_c0.3,outlier_z-score,min-max,cubic15,0.9452098686318487,0.35821851970522267,-0.5869913489266261,gait_102,gait_126
gait,butterworth_o5_c0.3,outlier_z-score,min-max,nearest15,0.949695610381288,0.4809355975648831,-0.46876001281640495,gait_103,gait_127
gait,butterworth_o5_c0.3,outlier_z-score,min-max,decimate15,0.9506568407561679,0.30278756808715157,-0.6478692726690163,gait_104,gait_128
gait,savgol_w7_p3,iqr,z-score,linear15,0.9599487343800064,0.5581544376802307,-0.40179429669977573,gait_129,gait_153
gait,savgol_w7_p3,iqr,z-score,cubic15,0.9583466837552067,0.5857097084267863,-0.37263697532842044,gait_130,gait_154
gait,savgol_w7_p3,iqr,z-score,nearest15,0.9586670938801666,0.6674142902915732,-0.2912528035885934,gait_131,gait_155
gait,savgol_w7_p3,iqr,z-score,decimate15,0.9647548862544056,0.47036206344120474,-0.4943928228132009,gait_132,gait_156
gait,savgol_w7_p3,iqr,min-max,linear15,0.9557834027555271,0.2826017302146748,-0.6731816725408524,gait_133,gait_157
gait,savgol_w7_p3,iqr,min-max,cubic15,0.9586670938801666,0.3351489907081064,-0.6235181031720602,gait_134,gait_158
gait,savgol_w7_p3,iqr,min-max,nearest15,0.9612303748798462,0.4104453700736943,-0.5507850048061519,gait_135,gait_159
gait,savgol_w7_p3,iqr,min-max,decimate15,0.9564242230054469,0.26465876321691767,-0.6917654597885292,gait_136,gait_160
gait,savgol_w7_p3,outlier_z-score,z-score,linear15,0.9602691445049664,0.5873117590515861,-0.3729573854533803,gait_161,gait_185
gait,savgol_w7_p3,outlier_z-score,z-score,cubic15,0.9637936558795258,0.5696892021787888,-0.394104453700737,gait_162,gait_186
gait,savgol_w7_p3,outlier_z-score,z-score,nearest15,0.9612303748798462,0.6792694649150913,-0.28196090996475487,gait_163,gait_187
gait,savgol_w7_p3,outlier_z-score,z-score,decimate15,0.9580262736302467,0.4767702659404037,-0.481256007689843,gait_164,gait_188
gait,savgol_w7_p3,outlier_z-score,min-max,linear15,0.9551425825056071,0.3274591477090676,-0.6276834347965395,gait_165,gait_189
gait,savgol_w7_p3,outlier_z-score,min-max,cubic15,0.9561038128804871,0.35725728933034284,-0.5988465235501442,gait_166,gait_190
gait,savgol_w7_p3,outlier_z-score,min-max,nearest15,0.9567446331304069,0.425184235821852,-0.531560397308555,gait_167,gait_191
gait,savgol_w7_p3,outlier_z-score,min-max,decimate15,0.9567446331304069,0.28035885933995514,-0.6763857737904517,gait_168,gait_192
