sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,5,11,11,5.139081,4.6082529999999995,3.8408765,4.659355,5.124108,5.139081,0.8967076020012137,1.0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,1,3,12,5.3196699999999995,0.3775249999999999,0.26754400000000045,1.08107625,2.7826653000000006,3.0010299999999996,0.07096774799940596,0.25
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,2,5,12,5.3196699999999995,1.5212189999999999,0.5094784999999995,3.12522925,3.3094228,3.9800469999999994,0.2859611592448404,0.4166666666666667
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,3,7,12,5.3196699999999995,2.6406405,1.3402694999999998,3.66418775,4.4991826999999995,4.668361,0.4963917874605004,0.5833333333333334
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,5,11,12,5.3196699999999995,4.6498585,3.7126019999999995,4.85981225,4.945552999999999,5.185705,0.8740877723618194,0.9166666666666666
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,1,3,7,3.393373,1.1609980000000002,0.22216,1.5145149999999998,1.9626138000000002,2.1435690000000003,0.34213686500128343,0.42857142857142855
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,2,5,7,3.393373,2.1435690000000003,0.820101,2.6132605,3.1340338,3.330622,0.6316927140046202,0.7142857142857143
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,3,7,7,3.393373,3.002975,1.7410894999999997,3.357583,3.3880756,3.393373,0.884952818331495,1.0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,5,11,7,3.393373,3.393373,3.3889585,3.393373,3.393373,3.393373,1.0,1.0
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,1,3,8,4.9874089999999995,0.9367769999999997,0.44994999999999963,1.6136417500000002,3.0199522,3.025674,0.18782838945031374,0.375
