half_window,full_window_frames,sample_index,file_name,user_id,position_id,action_id,frames,values,replaced_values,mad_zero_values,zero_mad_replacements,frames_with_any_replacement,frames_with_at_least_1pct_channels_replaced,absolute_change_sum,raw_total_variation,filtered_total_variation,raw_dynamic_peak_sum,filtered_dynamic_peak_sum,waveform_correlation,normalized_mae,high_motion_values,high_motion_replacements,high_motion_replacement_rate,high_motion_replacement_enrichment,median_window_span_seconds,p90_window_span_seconds,median_window_fraction_of_sample,replacement_run_count,replacement_rate,mad_zero_rate,zero_mad_share_of_replacements,total_variation_retention,dynamic_peak_retention
5,11,72,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position3_activity6/20250813=171958_mimo5s_part0.csv,1,3,6,11,16896,2842,45,6,9,6,2105841.491269327,3774575.7014340553,785776.7053615109,1366196.2631039433,183585.73005992454,0.7591428554851358,0.2436839535707029,3072,1389,0.4521484375,2.6880717804363123,3.352774,4.357513,0.687679533273483,2709,0.16820549242424243,0.0026633522727272725,0.00211118930330753,0.20817616800292937,0.1343772743477025
5,11,73,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position4_activity0/20250813=211532_mimo5s_part0.csv,1,4,0,11,16896,4021,33,0,11,5,2447446.2838887824,3320392.288871688,199178.5338427455,1137810.8420941413,42772.17908952254,0.666726865466442,0.333223348897474,3072,1018,0.3313802083333333,1.3924396916190003,3.918992,4.789398,0.7560508791062723,3924,0.23798532196969696,0.001953125,0.0,0.05998644633355324,0.03759164309842603
5,11,74,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position4_activity1/20250813=115613_mimo5s_part0.csv,1,4,1,7,10752,1280,21,0,7,6,1042585.5798777682,3450861.636918922,2029767.01722187,1205438.715452032,618988.3011078828,0.7909659785063078,0.19945110278291128,3072,542,0.17643229166666666,1.48203125,4.196143999999999,4.196143999999999,1.0,1247,0.11904761904761904,0.001953125,0.0,0.5881913651670292,0.5134962841107737
5,11,75,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position4_activity2/20250813=234222_mimo5s_part0.csv,1,4,2,4,6144,1159,12,0,4,2,1027878.9635121186,1451655.2966878477,426341.84219078894,1120560.765367779,175614.6285951587,0.6831571607814191,0.32217432961340914,3072,1098,0.357421875,1.8947368421052633,2.6810929999999997,2.6810929999999997,1.0,1159,0.18863932291666666,0.001953125,0.0,0.29369358081325975,0.156720308280221
5,11,76,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user1_position4_activity3/20250813=185916_mimo5s_part0.csv,1,4,3,12,18432,2820,64,10,12,7,2367619.8749525542,4923646.7565481365,2330516.8064714773,1309723.294006902,735958.102564414,0.730084256834444,0.2581363849988002,3072,919,0.2991536458333333,1.9553191489361703,3.6953179999999994,4.4738665,0.7434831613040558,2160,0.15299479166666666,0.003472222222222222,0.0035460992907801418,0.4733314394197834,0.5619187701188856
5,11,77,/home/test/bupt_hjk/sdp_dataset/elderAL/action5_drink_new/user1_position4_activity5/20250813=161217_mimo5s_part0.csv,1,4,5,7,10752,2255,21,0,7,6,1856720.137568498,3101113.4284860278,494808.9638099028,1325430.8280198495,178251.67906229122,0.6271633926777833,0.3442831217195053,3072,978,0.318359375,1.517960088691796,4.719767,4.719767,1.0,2177,0.20972842261904762,0.001953125,0.0,0.15955848607945627,0.13448584059916083
5,11,78,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position4_activity6/20250813=173134_mimo5s_part0.csv,1,4,6,7,10752,2258,210,81,6,5,1163982.884559737,1673422.4945662948,557324.7828551878,997846.5635497493,186609.0972784696,0.7799492005797541,0.23249795441410273,3072,1836,0.59765625,2.845881310894597,4.9968379999999994,4.9968379999999994,1.0,1699,0.21000744047619047,0.01953125,0.03587245349867139,0.33304487340456784,0.1870118153382465
5,11,79,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position5_activity0/20250813=211700_mimo5s_part0.csv,1,5,0,18,27648,5113,154,23,18,9,3363441.1576879392,5061436.376843732,420177.71587776474,1332003.1505970513,76180.30468718437,0.7267803828083435,0.2638433142228412,3072,1040,0.3385416666666667,1.8306278114609817,1.728449,2.4756234,0.47106149898181215,4958,0.18493200231481483,0.005570023148148148,0.004498337570897712,0.0830155087595478,0.05719228565866202
5,11,80,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position5_activity1/20250813=120417_mimo5s_part0.csv,1,5,1,4,6144,491,12,0,3,2,316509.0005209845,2053424.5120111336,1740073.795365265,915952.6466172535,654305.5038897439,0.9236854255882101,0.10175559687514706,3072,325,0.10579427083333333,1.3238289205702647,5.41195,5.41195,1.0,491,0.07991536458333333,0.001953125,0.0,0.8474009076968837,0.7143442472776179
5,11,81,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position5_activity2/20250813=235902_mimo5s_part0.csv,1,5,2,4,6144,1236,12,0,3,1,1038633.2058591847,1350057.0266469507,323254.5830251316,1095483.9731599751,143694.50887568627,0.6981893099003135,0.3268578334060031,3072,1222,0.3977864583333333,1.977346278317152,2.812493,2.812493,1.0,1236,0.201171875,0.001953125,0.0,0.23943772495890644,0.1311698869141761
5,11,82,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user1_position5_activity3/20250813=190225_mimo5s_part0.csv,1,5,3,11,16896,3508,45,6,10,5,2710589.6307765534,4630656.802553625,1308990.5055141547,1351089.9937980422,343408.4942614299,0.655550317313402,0.3327381517228907,3072,922,0.3001302083333333,1.4455530216647663,3.5725469999999997,4.00899,0.8471193223893358,3366,0.20762310606060605,0.0026633522727272725,0.0017103762827822121,0.28267923133329553,0.2541714436771721
5,11,83,/home/test/bupt_hjk/sdp_dataset/elderAL/action5_drink_new/user1_position5_activity5/20250813=161459_mimo5s_part0.csv,1,5,5,4,6144,444,12,0,3,2,345673.4629730343,2310198.245210262,1975469.4354683873,1022810.3126869746,729408.7267167892,0.896514594979795,0.10614639685253205,3072,159,0.0517578125,0.7162162162162162,3.132295,3.132295,1.0,444,0.072265625,0.001953125,0.0,0.8551081880371658,0.7131417406230441
5,11,84,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position5_activity6/20250813=174220_mimo5s_part0.csv,1,5,6,12,18432,3147,94,2,11,6,2420922.9715863443,4296797.431297169,1545680.1905941202,1260674.0207818183,576373.1548504132,0.7178833369155871,0.2781189522860197,3072,981,0.3193359375,1.8703527168732126,4.0094645,4.6291605,0.7836310063029156,2268,0.17073567708333334,0.005099826388888889,0.0006355258976803305,0.3597284292100062,0.457194441504371
5,11,85,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position6_activity0/20250813=211901_mimo5s_part0.csv,1,6,0,21,32256,4585,366,53,20,7,2676754.9317464894,5649311.0041610375,1165011.1739403508,1163509.4070011135,131812.75094082617,0.8146326501020161,0.1913226002948658,4608,1362,0.2955729166666667,2.0793893129770997,0.961013,3.147196,0.21877212448306965,4542,0.1421440972222222,0.01134672619047619,0.011559432933478735,0.20622181591387942,0.11328894304393021
