sample_index,file_name,user_id,position_id,action_id,interval_index,interval_seconds,is_positive,is_duplicate_timestamp
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,1,0.014972999999999998,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,2,0.571973,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,3,0.153868,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,4,1.1147809999999998,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,5,0.35948500000000005,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,6,2.3931729999999996,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,7,0.0032330000000007075,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,8,0.00864299999999929,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,9,0.07845200000000041,1,0
6,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user0_position6_activity1/20250813=120612_mimo5s_part0.csv,0,6,1,10,0.4405000000000001,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,1,0.133965,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,2,0.40823699999999996,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,3,0.9790169999999999,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,4,0.0,0,1
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,5,0.34339600000000003,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,6,2.657634,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,7,0.28007700000000035,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,8,0.03146200000000032,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,9,0.10409699999999944,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,10,0.008519999999999861,1,0
7,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122201_mimo5s_part0.csv,1,8,1,11,0.37326499999999996,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,1,0.008829,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,2,0.053922,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,3,0.32764699999999997,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,4,0.8594059999999999,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,5,0.9825709999999999,1,0
8,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122207_mimo5s_part0.csv,1,8,1,6,1.1609980000000002,1,0
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,1,3.0175,1,0
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,2,0.008173999999999904,1,0
9,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122304_mimo5s_part0.csv,1,8,1,3,0.08818100000000006,1,0
