half_window,full_window_frames,n_sigma,diagnostic_samples,frames,values,replaced_values,replacement_rate,mad_zero_rate,zero_mad_share_of_replacements,frame_any_replacement_rate,frame_1pct_channels_replaced_rate,total_variation_retention,dynamic_peak_retention,mean_waveform_correlation,mean_normalized_mae,high_motion_replacement_rate,high_motion_replacement_enrichment,median_sample_window_span_seconds,p90_sample_window_span_seconds,median_window_fraction_of_sample,replacement_run_count,single_frame_run_fraction,runs_le3_fraction,changed_values_in_runs_le3_fraction,run_length_median_frames,run_length_p90_frames,run_length_max_frames,run_duration_median_seconds,run_duration_p90_seconds,run_duration_max_seconds
1,3,3.0,162,1423,2185728,191776,0.08774010306863433,0.029241973383696416,0.005746287335224428,0.769501054111033,0.6352775825720309,0.6829198630797538,0.9079765934340807,0.9503541118394373,0.058747597324492036,0.05744705123363545,0.6547410958555375,0.8597757500000001,2.96518178,0.23590297270835575,182551,0.9587622089169602,0.998838680697449,0.995520815951944,1.0,1.0,5,0.2691795000000001,0.501932,4.521782999999999
2,5,3.0,162,1423,2185728,436912,0.1998931248535957,0.01149960104825486,0.012306826088548724,0.9465917076598735,0.6999297259311315,0.28344159567682586,0.28251463462614956,0.7276474554210631,0.27672266150627706,0.3319211039778449,1.6604928469698406,1.7521907499999998,3.9501124800000005,0.49937281359063324,407779,0.9338489721147974,0.9999828338389176,0.9999313362873988,1.0,1.0,5,0.30091250000000014,0.6482705,3.280817
3,7,3.0,162,1423,2185728,352680,0.1613558503162333,0.008495567609510424,0.008313485312464557,0.9409697821503865,0.623330990864371,0.38682604952774574,0.44135428825568834,0.7950222286946421,0.21352791187938205,0.2915624213242699,1.806952897913842,2.4059827499999997,4.6504451499999995,0.6692449501329037,319227,0.8962775705062541,0.9999937348657851,0.9999773165475785,1.0,2.0,4,0.30091250000000014,0.6282550000000002,3.280817
5,11,3.0,162,1423,2185728,378731,0.1732745337022722,0.0063923781916139615,0.0072056419992026005,0.9184820801124385,0.5713281799016163,0.3237213049797611,0.30557225790208303,0.7661163621619496,0.23783470219815508,0.33052460976837866,1.9075198340241986,3.297307,5.0033848999999995,1.0,337229,0.8810185363654964,0.9997271883497564,0.9990256936981657,1.0,2.0,5,0.30091250000000014,0.6482705,3.499393
