epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.2848627639539316,18.68686868686869,2.569600736733639,29.848484848484848,0.0003
2,2.2463904655340947,43.282828282828284,1.92920772523591,48.03030303030303,0.0003
3,1.6805575669413866,57.82828282828283,1.5158876267346468,59.696969696969695,0.0003
4,1.3267518200055517,66.11111111111111,1.3272835301630426,61.81818181818182,0.0003
5,1.1298708701374556,72.12121212121212,1.1615419033801917,65.0,0.0003
6,0.9762760273133866,72.97979797979798,1.0678253116029681,68.48484848484848,0.0003
7,0.8181690276271165,79.74747474747475,1.0232516570524737,69.0909090909091,0.0003
8,0.7076450470722083,82.32323232323232,0.8613570668480613,74.24242424242425,0.0003
9,0.6318209553005719,83.48484848484848,0.8691947243430398,76.36363636363636,0.0003
10,0.5812532297288528,85.35353535353535,0.8211991140336702,75.15151515151516,0.0003
11,0.5737970532792988,84.79797979797979,0.8118870771292485,73.78787878787878,0.0003
12,0.47267465133859654,88.28282828282828,0.7152275081836816,79.0909090909091,0.0003
13,0.4405264694281299,89.24242424242425,0.6487359372052279,81.36363636363636,0.0003
14,0.40036164486046993,90.85858585858585,0.909689435453126,72.57575757575758,0.0003
15,0.42077275297858496,89.44444444444444,0.6728713794188066,80.9090909090909,0.0003
16,0.3974114196469085,89.24242424242425,0.606879136056611,82.12121212121212,0.0003
17,0.32329393757714164,91.56565656565657,0.5886660814285278,83.33333333333333,0.0003
18,0.31639242852577054,91.76767676767676,0.6510065784960082,81.81818181818181,0.0003
19,0.27317899917111255,93.23232323232324,0.5647735411470587,82.12121212121212,0.0003
20,0.27706667154726355,93.13131313131314,0.6562964081764221,82.12121212121212,0.0003
21,0.2722351405656699,93.23232323232324,0.5370989651391,84.24242424242425,0.0003
22,0.2400150633821584,93.98989898989899,0.5373844954100522,84.6969696969697,0.0003
23,0.24748475846618112,93.63636363636364,0.5650591684110237,82.87878787878788,0.0003
24,0.22618131246229614,94.5959595959596,0.4766094576228749,87.27272727272727,0.0003
25,0.21113074921598338,94.39393939393939,0.5278220660758741,84.84848484848484,0.0003
26,0.2047034176010074,94.4949494949495,0.7315031219612468,79.0909090909091,0.0003
27,0.19480803810586833,95.1010101010101,0.45394045493819496,86.36363636363636,0.0003
28,0.25770807013367164,93.28282828282828,0.49148047421917773,85.15151515151516,0.0003
29,0.20543129450142986,94.29292929292929,0.5839341665759231,83.93939393939394,0.0003
30,0.15131778954857528,96.71717171717172,0.4658323679909562,86.51515151515152,0.0003
31,0.1506646244664385,96.41414141414141,0.49964417616526285,86.21212121212122,0.0003
32,0.1476093237147187,96.26262626262626,0.46170248461492136,86.36363636363636,0.0003
33,0.13813882801267835,96.61616161616162,0.5372081167770154,85.60606060606061,0.0003
34,0.10043638611231187,98.08080808080808,0.3819180551803473,89.6969696969697,2.9999999999999997e-05
35,0.0756065285868115,98.53535353535354,0.37458953857421873,89.6969696969697,2.9999999999999997e-05
36,0.06252455944665755,99.14141414141415,0.370937022115245,89.6969696969697,2.9999999999999997e-05
37,0.06546918905594132,99.0909090909091,0.3823649901332277,88.78787878787878,2.9999999999999997e-05
38,0.06183419223084594,99.1919191919192,0.36850681738419966,89.84848484848484,2.9999999999999997e-05
39,0.058614604114884075,99.4949494949495,0.3684148941979264,89.84848484848484,2.9999999999999997e-05
40,0.05822697733387803,99.14141414141415,0.3725732219038588,90.3030303030303,2.9999999999999997e-05
41,0.059199434112418785,99.24242424242425,0.3650740605412108,90.0,2.9999999999999997e-05
42,0.05783416996098528,99.1919191919192,0.3922172871502963,89.24242424242425,2.9999999999999997e-05
43,0.05376013944847415,99.24242424242425,0.3588610199364749,89.6969696969697,2.9999999999999997e-05
44,0.06119917785805283,99.0909090909091,0.37126564284165703,90.3030303030303,2.9999999999999997e-05
45,0.05400283731745951,99.39393939393939,0.3766891139926332,90.15151515151516,2.9999999999999997e-05
46,0.05782140214936902,99.34343434343434,0.3569340012290261,90.60606060606061,2.9999999999999997e-05
47,0.05761319921173231,99.29292929292929,0.37695979737874236,89.54545454545455,2.9999999999999997e-05
48,0.04637016273959719,99.5959595959596,0.36624970156134984,89.84848484848484,2.9999999999999997e-05
49,0.05284935568619256,99.14141414141415,0.3521024308421395,90.15151515151516,2.9999999999999997e-05
50,0.04661705539082036,99.5959595959596,0.3603696994709246,90.75757575757575,2.9999999999999997e-05
