dataset,preset,model,status,test_acc,test_acc_pct,source_file
Widar,high_quality,csimodel,ok,0.6101010101010101,61.01010101010102,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,mlpmodel,ok,0.6505050505050505,65.05050505050505,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,cnn1dmodel,ok,0.6252525252525253,62.525252525252526,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,cnn2dmodel,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,lstmmodel,ok,0.5646464646464646,56.464646464646464,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,resnet1d,ok,0.5848484848484848,58.484848484848484,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,resnet2d,ok,0.5858585858585859,58.58585858585859,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,bilstmattention,ok,0.597979797979798,59.79797979797979,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,efficientnetcsi,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,visiontransformercsi,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,mambacsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,graphneuralcsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,that,ok,0.591919191919192,59.1919191919192,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,csitime,ok,0.6292929292929293,62.929292929292934,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,pa_csi,ok,0.5868686868686869,58.686868686868685,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,wiflexformer,ok,0.6171717171717171,61.717171717171716,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,attentiongru,ok,0.597979797979798,59.79797979797979,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,ei,ok,0.6181818181818182,61.81818181818181,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,high_quality,fewsense,ok,0.5787878787878787,57.878787878787875,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,visiontransformercsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,mambacsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,graphneuralcsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,csimodel,ok,0.5888888888888889,58.88888888888889,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,mlpmodel,ok,0.6595959595959596,65.95959595959596,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,cnn1dmodel,ok,0.6303030303030303,63.030303030303024,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,cnn2dmodel,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,lstmmodel,ok,0.5696969696969697,56.96969696969697,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,resnet1d,ok,0.6,60.0,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,resnet2d,ok,0.593939393939394,59.3939393939394,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,bilstmattention,ok,0.5959595959595959,59.59595959595959,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,efficientnetcsi,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,that,ok,0.5686868686868687,56.868686868686865,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,csitime,ok,0.601010101010101,60.1010101010101,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,pa_csi,ok,0.5797979797979798,57.97979797979798,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,wiflexformer,ok,0.6070707070707071,60.70707070707071,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,attentiongru,ok,0.601010101010101,60.1010101010101,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,ei,ok,0.6101010101010101,61.01010101010102,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,fast,fewsense,ok,0.5515151515151515,55.15151515151515,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,visiontransformercsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,mambacsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,graphneuralcsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,csimodel,ok,0.5818181818181818,58.18181818181818,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,mlpmodel,ok,0.6333333333333333,63.33333333333333,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,cnn1dmodel,ok,0.5636363636363636,56.36363636363636,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,cnn2dmodel,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,lstmmodel,ok,0.5808080808080808,58.080808080808076,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,resnet1d,ok,0.5656565656565656,56.56565656565656,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,resnet2d,ok,0.5696969696969697,56.96969696969697,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,bilstmattention,ok,0.5777777777777777,57.77777777777777,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,efficientnetcsi,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,that,ok,0.6272727272727273,62.727272727272734,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,csitime,ok,0.5363636363636364,53.63636363636364,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,pa_csi,ok,0.5616161616161616,56.16161616161616,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,wiflexformer,ok,0.5808080808080808,58.080808080808076,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,attentiongru,ok,0.5757575757575758,57.57575757575758,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,ei,ok,0.5585858585858586,55.85858585858586,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,robust,fewsense,ok,0.6323232323232323,63.23232323232323,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,visiontransformercsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,mambacsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,graphneuralcsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,csimodel,ok,0.593939393939394,59.3939393939394,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,mlpmodel,ok,0.6868686868686869,68.68686868686868,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,cnn1dmodel,ok,0.6383838383838384,63.83838383838384,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,cnn2dmodel,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,lstmmodel,ok,0.5757575757575758,57.57575757575758,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,resnet1d,ok,0.604040404040404,60.4040404040404,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,resnet2d,ok,0.5838383838383838,58.38383838383838,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,bilstmattention,ok,0.602020202020202,60.2020202020202,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,efficientnetcsi,failed,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,that,ok,0.5838383838383838,58.38383838383838,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,csitime,ok,0.6292929292929293,62.929292929292934,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,pa_csi,ok,0.5888888888888889,58.88888888888889,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,wiflexformer,ok,0.6262626262626263,62.62626262626263,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,attentiongru,ok,0.6060606060606061,60.60606060606061,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,ei,ok,0.6222222222222222,62.22222222222222,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,gesture_recognition,fewsense,ok,0.5858585858585859,58.58585858585859,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,activity_detection,visiontransformercsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,activity_detection,mambacsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,activity_detection,graphneuralcsi,skipped,,,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,activity_detection,csimodel,ok,0.5757575757575758,57.57575757575758,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
Widar,activity_detection,mlpmodel,ok,0.6494949494949495,64.94949494949495,SDP/test_wider/result/preset_tests/condition_v2_all_presets_models_summary.csv
