dataset,combo_index,combo_id,combo_name,model,status,best_val_acc,test_acc,denoise,outliers,calibrate,normalize,interpolate,pipeline_steps,output_dir,duration_sec,error,test_acc_pct,interpolate_method
Widar,11,widar_011,wavelet+iqr+polynomial_d3+z-score+nearest15,mlpmodel,ok,0.7362318840579709,0.694949494949495,wavelet,iqr,polynomial_d3,z-score,nearest15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_011+wavelet+iqr+polynomial_d3+z-score+nearest15+mlpmodel,1491.0,,69.4949494949495,nearest
Widar,12,widar_012,wavelet+iqr+polynomial_d3+z-score+decimate15,mlpmodel,ok,0.7236714975845411,0.6989898989898989,wavelet,iqr,polynomial_d3,z-score,decimate15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_012+wavelet+iqr+polynomial_d3+z-score+decimate15+mlpmodel,1202.33,,69.8989898989899,decimate
Widar,13,widar_013,wavelet+iqr+polynomial_d3+min-max+linear15,mlpmodel,ok,0.697584541062802,0.6787878787878788,wavelet,iqr,polynomial_d3,min-max,linear15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_013+wavelet+iqr+polynomial_d3+min-max+linear15+mlpmodel,1585.92,,67.87878787878789,linear
Widar,14,widar_014,wavelet+iqr+polynomial_d3+min-max+cubic15,mlpmodel,ok,0.6782608695652174,0.6595959595959596,wavelet,iqr,polynomial_d3,min-max,cubic15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_014+wavelet+iqr+polynomial_d3+min-max+cubic15+mlpmodel,2148.54,,65.95959595959596,cubic
Widar,15,widar_015,wavelet+iqr+polynomial_d3+min-max+nearest15,mlpmodel,ok,0.7053140096618357,0.6808080808080809,wavelet,iqr,polynomial_d3,min-max,nearest15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_015+wavelet+iqr+polynomial_d3+min-max+nearest15+mlpmodel,1509.54,,68.08080808080808,nearest
Widar,16,widar_016,wavelet+iqr+polynomial_d3+min-max+decimate15,mlpmodel,ok,0.6570048309178743,0.6494949494949495,wavelet,iqr,polynomial_d3,min-max,decimate15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_016+wavelet+iqr+polynomial_d3+min-max+decimate15+mlpmodel,1209.91,,64.94949494949495,decimate
Widar,17,widar_017,wavelet+iqr+stc+z-score+linear15,mlpmodel,ok,0.7342995169082126,0.6898989898989899,wavelet,iqr,stc,z-score,linear15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_017+wavelet+iqr+stc+z-score+linear15+mlpmodel,1577.13,,68.98989898989899,linear
Widar,18,widar_018,wavelet+iqr+stc+z-score+cubic15,mlpmodel,ok,0.7342995169082126,0.6989898989898989,wavelet,iqr,stc,z-score,cubic15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_018+wavelet+iqr+stc+z-score+cubic15+mlpmodel,2263.16,,69.8989898989899,cubic
Widar,19,widar_019,wavelet+iqr+stc+z-score+nearest15,mlpmodel,ok,0.7342995169082126,0.695959595959596,wavelet,iqr,stc,z-score,nearest15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_019+wavelet+iqr+stc+z-score+nearest15+mlpmodel,2135.93,,69.5959595959596,nearest
Widar,20,widar_020,wavelet+iqr+stc+z-score+decimate15,mlpmodel,ok,0.7207729468599033,0.6989898989898989,wavelet,iqr,stc,z-score,decimate15,"{""calibrate"": {""method"": ""stc""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_020+wavelet+iqr+stc+z-score+decimate15+mlpmodel,2248.47,,69.8989898989899,decimate
