dataset,preset,model,status,best_val_acc,test_acc,output_dir,error,test_acc_pct
Widar,fast,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 986.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 731.25 MiB is free. Including non-PyTorch memory, this process has 78.52 GiB memory in use. Of the allocated memory 77.87 GiB is allocated by PyTorch, and 141.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,fast,that,ok,57.58454106280193,0.5686868686868687,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+that,,56.868686868686865
Widar,fast,csitime,ok,61.73913043478261,0.601010101010101,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+csitime,,60.1010101010101
Widar,fast,pa_csi,ok,59.90338164251208,0.5797979797979798,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+pa_csi,,57.97979797979798
Widar,fast,wiflexformer,ok,64.05797101449275,0.6070707070707071,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+wiflexformer,,60.70707070707071
Widar,fast,attentiongru,ok,61.64251207729468,0.601010101010101,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+attentiongru,,60.1010101010101
Widar,fast,ei,ok,62.99516908212561,0.6101010101010101,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+ei,,61.01010101010102
Widar,fast,fewsense,ok,59.227053140096615,0.5515151515151515,/home/test/bupt_hjk/test_wider/result/condition_v2+fast+fewsense,,55.15151515151515
Widar,robust,visiontransformercsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+visiontransformercsi,skipped_by_config,
Widar,robust,mambacsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+mambacsi,skipped_by_config,
Widar,robust,graphneuralcsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+graphneuralcsi,skipped_by_config,
Widar,robust,csimodel,ok,60.67632850241546,0.5818181818181818,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+csimodel,,58.18181818181818
Widar,robust,mlpmodel,ok,66.28019323671498,0.6333333333333333,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+mlpmodel,,63.33333333333333
Widar,robust,cnn1dmodel,ok,61.15942028985507,0.5636363636363636,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+cnn1dmodel,,56.36363636363636
Widar,robust,cnn2dmodel,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+robust+cnn2dmodel,"OutOfMemoryError('CUDA out of memory. Tried to allocate 23.44 GiB. GPU 0 has a total capacity of 79.25 GiB of which 22.10 GiB is free. Including non-PyTorch memory, this process has 57.13 GiB memory in use. Of the allocated memory 56.58 GiB is allocated by PyTorch, and 48.43 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
