dataset,combo_id,model,status,test_acc,test_acc_pct,denoise,outliers,calibrate,normalize,interpolate,interpolation_method,source_file
Widar,widar_030,mlpmodel,ok,0.5454545454545454,54.54545454545454,wavelet,iqr,robust,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_031,mlpmodel,ok,0.5565656565656566,55.65656565656566,wavelet,iqr,robust,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_032,mlpmodel,ok,0.5191919191919192,51.91919191919192,wavelet,iqr,robust,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_033,mlpmodel,ok,0.692929292929293,69.2929292929293,wavelet,outlier_z-score,linear,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_034,mlpmodel,ok,0.702020202020202,70.2020202020202,wavelet,outlier_z-score,linear,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_035,mlpmodel,ok,0.7151515151515152,71.51515151515152,wavelet,outlier_z-score,linear,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_036,mlpmodel,ok,0.6868686868686869,68.68686868686868,wavelet,outlier_z-score,linear,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_037,mlpmodel,ok,0.6868686868686869,68.68686868686868,wavelet,outlier_z-score,linear,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_038,mlpmodel,ok,0.6595959595959596,65.95959595959596,wavelet,outlier_z-score,linear,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_039,mlpmodel,ok,0.6646464646464646,66.46464646464646,wavelet,outlier_z-score,linear,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_040,mlpmodel,ok,0.6585858585858586,65.85858585858585,wavelet,outlier_z-score,linear,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_041,mlpmodel,ok,0.702020202020202,70.2020202020202,wavelet,outlier_z-score,polynomial_d3,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_042,mlpmodel,ok,0.703030303030303,70.3030303030303,wavelet,outlier_z-score,polynomial_d3,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_043,mlpmodel,ok,0.702020202020202,70.2020202020202,wavelet,outlier_z-score,polynomial_d3,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_044,mlpmodel,ok,0.7070707070707071,70.70707070707071,wavelet,outlier_z-score,polynomial_d3,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_045,mlpmodel,ok,0.6747474747474748,67.47474747474747,wavelet,outlier_z-score,polynomial_d3,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_046,mlpmodel,ok,0.6656565656565656,66.56565656565657,wavelet,outlier_z-score,polynomial_d3,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_047,mlpmodel,ok,0.6828282828282828,68.28282828282828,wavelet,outlier_z-score,polynomial_d3,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_048,mlpmodel,ok,0.6595959595959596,65.95959595959596,wavelet,outlier_z-score,polynomial_d3,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_049,mlpmodel,ok,0.697979797979798,69.7979797979798,wavelet,outlier_z-score,stc,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_050,mlpmodel,ok,0.7,70.0,wavelet,outlier_z-score,stc,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_051,mlpmodel,ok,0.7080808080808081,70.8080808080808,wavelet,outlier_z-score,stc,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_052,mlpmodel,ok,0.6898989898989899,68.98989898989899,wavelet,outlier_z-score,stc,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_053,mlpmodel,ok,0.6747474747474748,67.47474747474747,wavelet,outlier_z-score,stc,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_054,mlpmodel,ok,0.6737373737373737,67.37373737373737,wavelet,outlier_z-score,stc,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_055,mlpmodel,ok,0.6727272727272727,67.27272727272727,wavelet,outlier_z-score,stc,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_056,mlpmodel,ok,0.6555555555555556,65.55555555555556,wavelet,outlier_z-score,stc,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_057,mlpmodel,ok,0.6616161616161617,66.16161616161617,wavelet,outlier_z-score,robust,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_058,mlpmodel,ok,0.6565656565656566,65.65656565656566,wavelet,outlier_z-score,robust,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_059,mlpmodel,ok,0.6343434343434343,63.43434343434343,wavelet,outlier_z-score,robust,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_060,mlpmodel,ok,0.6515151515151515,65.15151515151516,wavelet,outlier_z-score,robust,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_061,mlpmodel,ok,0.5626262626262626,56.262626262626256,wavelet,outlier_z-score,robust,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_062,mlpmodel,ok,0.5434343434343434,54.34343434343434,wavelet,outlier_z-score,robust,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_063,mlpmodel,ok,0.5525252525252525,55.25252525252525,wavelet,outlier_z-score,robust,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_064,mlpmodel,ok,0.5434343434343434,54.34343434343434,wavelet,outlier_z-score,robust,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_065,mlpmodel,ok,0.7171717171717171,71.71717171717171,butterworth_o5_c0.3,iqr,linear,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_066,mlpmodel,ok,0.7272727272727273,72.72727272727273,butterworth_o5_c0.3,iqr,linear,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
