Method,Mean test accuracy (%),Range low (%),Range high (%),Bandpass deficit (pp),Matched losses
wavelet,83.77840909090908,83.03030303030303,85.0,43.683712121212125,16.0
butterworth,83.4564393939394,81.96969696969697,85.0,43.36174242424243,16.0
savgol,83.71212121212122,81.96969696969697,85.15151515151516,43.61742424242425,16.0
hampel,82.71780303030303,81.06060606060606,84.0909090909091,42.62310606060606,16.0
bandpass,40.09469696969697,36.66666666666666,43.18181818181818,,
