file_name,frames,values,source_min_length,predicted_bypass,output_exactly_equal_to_input,max_absolute_change,mae,nmae,rmse,nrmse,pearson_r,nonfinite_input_count,nonfinite_output_count
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position2_activity0/20250813=205248_mimo5s_part0.csv,32,49152,28,False,False,3180.685285251822,1102.757689635743,1.2176156056248797,1250.2567587897067,1.2250164084488844,-0.3234460278465212,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205306_mimo5s_part0.csv,17,26112,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205312_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205318_mimo5s_part0.csv,34,52224,28,False,False,2758.9344426074863,807.1288793839117,0.9389465108048627,908.9209085072343,0.9432716724839703,0.2752069060042257,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205324_mimo5s_part0.csv,44,67584,28,False,False,2564.6469582170107,771.268039085843,0.8713946359529824,839.6426773460994,0.8555802238292762,0.5503071700182586,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205330_mimo5s_part0.csv,56,86016,28,False,False,2657.1479236924447,476.5779861907821,0.5547010704691642,657.562040796658,0.6764895793124188,0.38681981366437507,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205337_mimo5s_part0.csv,15,23040,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205343_mimo5s_part0.csv,30,46080,28,False,False,2802.5576231998193,775.2602080109972,0.9213077383439332,910.0293770532611,0.9460653217138775,0.1478590081325848,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205351_mimo5s_part0.csv,53,81408,28,False,False,2835.828776061258,965.1976205139422,1.1199924925539144,1106.9762892576664,1.1396360600645694,-0.14617842534222905,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205358_mimo5s_part0.csv,27,41472,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205404_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205410_mimo5s_part0.csv,7,10752,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205416_mimo5s_part0.csv,11,16896,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205422_mimo5s_part0.csv,27,41472,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205429_mimo5s_part0.csv,11,16896,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position3_activity0/20250813=205435_mimo5s_part0.csv,8,12288,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205454_mimo5s_part0.csv,27,41472,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position4_activity0/20250813=205500_mimo5s_part0.csv,16,24576,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
