half_window,full_window_frames,nominal_window_duration_ms,sample_index,file_name,frames,values,replaced_values,frames_with_any_replacement,frames_with_at_least_1pct_channels_replaced,absolute_change_sum,raw_total_variation,filtered_total_variation,raw_dynamic_peak_sum,filtered_dynamic_peak_sum,waveform_correlation,normalized_mae,replacement_run_count,replacement_rate,total_variation_retention,dynamic_peak_retention
1,3,15.0,1,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_01.npy,1000,270000,26432,998,998,22906.68904718959,182653.30049665805,142693.95674132372,1647.9074550330538,1628.5605590290854,0.9972880316131505,0.019300678675617713,23284,0.0978962962962963,0.7812284604401909,0.988259719352031
1,3,15.0,2,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_02.npy,1000,270000,27251,998,998,24326.4101879687,188559.41739177622,146011.993760349,1588.4336599956305,1567.951649523417,0.9971192133240688,0.020122409636538496,24003,0.10092962962962963,0.7743553505841343,0.987105529813395
1,3,15.0,3,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_03.npy,1000,270000,26223,998,998,22687.683997998498,182526.19356765493,142286.38448045735,1617.6252862518363,1600.4559493073339,0.9972635994354182,0.018758311839536076,23336,0.09712222222222222,0.7795395373087515,0.9893860852136621
1,3,15.0,4,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_04.npy,1000,270000,25856,998,998,21698.868475218333,180427.84867812475,141815.29156185975,1703.9880174076184,1686.3538871950796,0.9975261205161993,0.018148884573749816,23044,0.09576296296296297,0.7859944714790227,0.9896512592621591
1,3,15.0,5,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_05.npy,1000,270000,26456,998,998,22056.319159801926,177238.14600795193,138155.1102103902,1564.4998854664696,1538.6238420470959,0.9975356808739417,0.01828768075064505,23493,0.09798518518518519,0.7794885769353047,0.9834605015572382
1,3,15.0,6,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_06.npy,1000,270000,27088,998,998,24030.841806274737,185142.61518412142,142596.51057038925,1444.0023514174734,1426.2016056390416,0.997104526864466,0.019700038256330113,24076,0.10032592592592593,0.7701982087083477,0.9876726338007982
1,3,15.0,7,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_07.npy,1000,270000,27877,998,998,24426.560374358218,184121.80661950065,140957.33174615266,1475.2432330106344,1457.7774572203775,0.9972039172611176,0.020013032290716076,24680,0.10324814814814814,0.7655656564214031,0.9881607484112208
1,3,15.0,8,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_08.npy,1000,270000,25783,998,998,22158.277238223913,186673.95447394514,147142.3569910404,1530.0137443173405,1499.5755610671395,0.9974239718242199,0.01866634587728786,23027,0.09549259259259259,0.7882318527278945,0.9801059412941536
1,3,15.0,9,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_09.npy,1000,270000,26252,998,998,22443.305916992824,183196.47781954164,143491.0952710161,1686.3084039325906,1645.1240346289935,0.9975190425995125,0.01803965740552702,23343,0.09722962962962962,0.783263395556996,0.9755772021253335
1,3,15.0,10,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_10.npy,1000,270000,26550,998,998,23501.790684227402,185293.86044866298,143907.86328034248,1521.7215977210972,1502.108323245032,0.9971330321888174,0.019452292463405615,23544,0.09833333333333333,0.7766466893824213,0.9871111282737672
1,3,15.0,11,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_11.npy,1000,270000,28010,998,998,24439.963261631277,185275.02464748741,142552.86589527113,1625.5695026751205,1592.378151617591,0.9974368095175622,0.01902612935585969,24595,0.10374074074074074,0.7694122085073183,0.979581709054637
1,3,15.0,12,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_12.npy,1000,270000,26792,998,998,22863.96828372008,178958.59774310322,138830.61442011542,1462.4291027953996,1443.3274988642702,0.9972787176025847,0.019574799962047917,23657,0.09922962962962963,0.7757694582487068,0.9869384410535751
1,3,15.0,13,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_13.npy,1000,270000,26048,998,998,23097.95883059476,187043.52179781935,146545.0736394251,1598.7200993537626,1577.0637292319495,0.9973795805069682,0.018994859859844216,22936,0.09647407407407407,0.783481150434228,0.9864539326611537
1,3,15.0,14,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_14.npy,1000,270000,26180,998,998,22665.637429183444,188144.32712057483,148400.07641809393,1543.3187931557575,1525.6437029191693,0.9972951826876908,0.0187501616331881,23100,0.09696296296296296,0.7887565821901701,0.9885473498314328
1,3,15.0,15,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_15.npy,1000,270000,27032,998,998,23383.70523670023,181647.3476933292,140748.31386840623,1563.991395191593,1545.8564074336937,0.9973300488536404,0.01910301714282602,23881,0.10011851851851852,0.7748437599321746,0.9884046754901246
1,3,15.0,16,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_16.npy,1000,270000,24330,998,998,21308.300443499327,191438.05417539156,153490.2495113023,1664.7093030566684,1650.8086381158569,0.9977166030538684,0.016815992640613123,21690,0.09011111111111111,0.8017750189347294,0.9916497944023693
1,3,15.0,17,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_17.npy,1000,270000,26121,998,998,22953.728943631784,186172.28504575358,145942.8774427065,1707.7279699529035,1686.1546377942486,0.9973358999348709,0.018866377001262966,23081,0.09674444444444444,0.7839130158758038,0.9873672314688094
1,3,15.0,18,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_18.npy,1000,270000,26852,998,998,23184.152405345085,185103.17462064244,144102.0369200952,1495.4337497887764,1478.6422342480396,0.9973686516809934,0.01929406610366125,23850,0.09945185185185185,0.778495761703836,0.9887714748024722
1,3,15.0,19,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_19.npy,1000,270000,25457,998,998,22439.892481497285,187094.54114981001,147402.9228207603,1594.4619930692852,1578.3487201696419,0.9974781847414138,0.01851108904721043,22627,0.09428518518518518,0.787852611385022,0.989894225782939
1,3,15.0,20,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_20.npy,1000,270000,23517,998,997,21130.771074801196,194666.90400633932,157077.5026942239,1619.7234014666583,1599.2483378347692,0.997474556989229,0.01736248011487173,21017,0.0871,0.8069039958076729,0.9873589134951382
1,3,15.0,21,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_01.npy,1000,270000,29069,998,998,23702.81320098592,172745.18139386753,130884.75613351111,1168.153343757705,1110.443729509546,0.9977932269458264,0.01766071072828242,25676,0.10766296296296296,0.7576752941958329,0.9505975696114355
1,3,15.0,22,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_02.npy,1000,270000,29545,998,998,24017.14830999332,173595.04139783003,131275.62685355073,1187.4577767545757,1170.2060414013004,0.9978033800407997,0.018186202965857,25985,0.10942592592592593,0.7562176073491906,0.9854717062863273
1,3,15.0,23,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_03.npy,1000,270000,30027,998,998,24176.808326045673,173067.82155808914,130645.09905604608,1100.52811486348,1085.8709920470997,0.9979410078271149,0.01750292764288759,26363,0.11121111111111111,0.7548780465362006,0.9866817370511262
1,3,15.0,24,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_04.npy,1000,270000,30051,998,998,23775.08438283745,168811.1605070987,127086.12763937276,1103.265760238938,1083.1180553040806,0.9979335229750796,0.017585092564724684,26447,0.1113,0.7528301283968049,0.9817381218007764
1,3,15.0,25,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_05.npy,1000,270000,29806,998,998,23367.27413652908,168789.9882174528,127376.17575119743,1158.3055590818303,1138.6659317728609,0.9980086755433363,0.017123669054947888,26317,0.1103925925925926,0.7546429565899264,0.9830445195095693
1,3,15.0,26,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_06.npy,1000,270000,30800,998,998,25499.98797474206,174391.2452172639,129738.62180376695,1000.3509416305885,972.5186669115196,0.9976129722602873,0.019259709199184336,27006,0.11407407407407408,0.7439514617957635,0.9721774893581828
1,3,15.0,27,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_07.npy,1000,270000,28999,998,998,23687.37954649844,173927.1379518293,132170.19516277278,1167.8555753713856,1151.72807168302,0.9978867768827436,0.018055959384166695,25631,0.10740370370370371,0.7599170360601145,0.9861904981844721
1,3,15.0,28,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_08.npy,1000,270000,30149,998,998,24389.13519879808,171808.1611936577,128845.74121750187,1125.2497177465789,1106.4066654906544,0.9978307304051316,0.01800047384237062,26588,0.11166296296296296,0.7499395856537356,0.9832543372739879
1,3,15.0,29,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_09.npy,1000,270000,30005,998,998,24066.889395370654,170159.80270982403,127920.5402821658,1085.2205561206733,1059.403171499704,0.9978171656452925,0.018667461220684935,26355,0.11112962962962963,0.7517670933146917,0.9762100114346725
1,3,15.0,30,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_02_10.npy,1000,270000,29584,998,998,23557.388330114703,169568.4043185268,127796.83007126956,1038.6828958505512,1026.1001275780127,0.9978424969338733,0.01834367994206559,26225,0.10957037037037037,0.7536594484383354,0.9878858424233175
2,5,25.0,1,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_01.npy,1000,270000,15133,1000,995,15175.695399910492,182653.30049665805,157717.95831207227,1647.9074550330538,1631.4700335618857,0.9980739902957256,0.013284636407667635,14629,0.056048148148148146,0.8634826629642971,0.9900252763460928
2,5,25.0,2,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_02.npy,1000,270000,15859,1000,998,16429.346792984852,188559.41739177622,161782.9664052371,1588.4336599956305,1565.2496873732975,0.9979173606670353,0.013614025798251347,15278,0.05873703703703704,0.8579946238860889,0.9854045068382669
2,5,25.0,3,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_03.npy,1000,270000,15436,999,993,15866.089376506421,182526.19356765493,156467.85101833014,1617.6252862518363,1599.47642970896,0.9979357960699812,0.013431498102186626,14910,0.05717037037037037,0.8572350519123381,0.988780555857328
2,5,25.0,4,/home/test/bupt_hjk/sdp_dataset/xrf55/wifi/01_01_04.npy,1000,270000,15298,1000,998,15588.95122705155,180427.84867812475,155007.64057149237,1703.9880174076184,1680.0842038171954,0.9980058807841139,0.013280777703470859,14799,0.056659259259259256,0.8591115047213089,0.9859718417346682
