half_window,full_window_frames,nominal_window_duration_ms,first_to_last_span_ms,diagnostic_samples,frames,values,replaced_values,replacement_rate,frame_any_replacement_rate,frame_1pct_channels_replaced_rate,mean_normalized_mae,mean_waveform_correlation,total_variation_retention,dynamic_peak_retention,replacement_run_count,single_frame_run_fraction,runs_le3_fraction,changed_values_in_runs_le3_fraction,run_length_median,run_length_p90,run_length_max
1,3,15.0,10.0,30,30000,8100000,824142,0.10174592592592592,0.998,0.9979666666666667,0.01857247303919703,0.9975227109176408,0.7729242529047922,0.9846641968590893,728857,0.8876844154614691,0.9977279493782731,0.9915439329630088,1.0,2.0,7
2,5,25.0,20.0,30,30000,8100000,492102,0.06075333333333333,0.9999,0.9968666666666667,0.013060374436492809,0.9981446114478,0.8527024293065183,0.9842346892820647,474708,0.964230642837281,0.9999157376745283,0.9996647036589975,1.0,1.0,5
5,11,55.0,50.0,30,30000,8100000,180305,0.022259876543209878,0.9592666666666667,0.7482666666666666,0.00649260717414246,0.9989224141215676,0.9383995220037743,0.9867104010918978,166659,0.9236944899465376,0.9998379925476572,0.9994010149468955,1.0,1.0,4
10,21,105.0,100.0,30,30000,8100000,82900,0.010234567901234568,0.7562,0.3526666666666667,0.004026274237279205,0.9991994803229779,0.9717981440694761,0.9870910313365778,75992,0.9231761238025056,0.9977497631329614,0.9912907117008444,1.0,1.0,6
25,51,255.0,250.0,30,30000,8100000,39696,0.004900740740740741,0.4469,0.1499,0.0029209630930293836,0.9992183334882401,0.9913587581417784,0.9828021910903117,34122,0.8937049410937226,0.9861379754996776,0.9422108020959291,1.0,2.0,11
50,101,505.0,500.0,30,30000,8100000,34378,0.004244197530864197,0.3424333333333333,0.12336666666666667,0.003577009620365313,0.99877132125892,0.9985060399224285,0.9679047320520159,25367,0.8348247723420191,0.9590806953916505,0.8216882890220489,1.0,2.0,17
