half_window,full_window_frames,nominal_window_duration_ms,first_to_last_span_ms,n_seeds,model_seeds,mean_best_val_acc,std_best_val_acc,mean_test_acc,std_test_acc,min_test_acc,max_test_acc
1,3,15.0,10.0,1,42,0.8893939393939394,0.0,0.8090909090909091,0.0,0.8090909090909091,0.8090909090909091
2,5,25.0,20.0,1,42,0.9106060606060606,0.0,0.8287878787878787,0.0,0.8287878787878787,0.8287878787878787
5,11,55.0,50.0,1,42,0.9045454545454545,0.0,0.8318181818181818,0.0,0.8318181818181818,0.8318181818181818
10,21,105.0,100.0,1,42,0.9015151515151516,0.0,0.8454545454545455,0.0,0.8454545454545455,0.8454545454545455
25,51,255.0,250.0,1,42,0.9106060606060606,0.0,0.843939393939394,0.0,0.843939393939394,0.843939393939394
50,101,505.0,500.0,1,42,0.9227272727272726,0.0,0.8515151515151516,0.0,0.8515151515151516,0.8515151515151516
