method,samples,per_sample_strict_mean,per_sample_strict_median,per_sample_meaningful_mean,per_sample_meaningful_mean_bootstrap_ci_low,per_sample_meaningful_mean_bootstrap_ci_high,per_sample_meaningful_q1,per_sample_meaningful_median,per_sample_meaningful_q3,per_sample_meaningful_min,per_sample_meaningful_max,element_weighted_strict_rate,element_weighted_meaningful_rate,mean_negative_energy_fraction,element_weighted_rising_step_rate,element_weighted_falling_step_rate,element_weighted_flat_step_rate,element_weighted_zero_crossing_rate,element_weighted_negative_negative_pair_rate,element_weighted_abs_slope_direction_disagreement_rate,comparable_abs_slope_pairs,element_weighted_abs_slope_direction_changed_or_lost_rate,meaningful_original_slope_pairs
raw,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49997637368007736,0.4999356292319255,8.7997087997088e-05,0.0,0.0,0.0,890030673,0.0,890030673
wavelet,3300,2.0763187429854097e-06,0.0,4.848484848484849e-07,3.4677328843995515e-07,6.408810325476991e-07,0.0,0.0,0.0,0.0,0.00011851851851851852,2.0763187429854097e-06,4.848484848484849e-07,2.445015857036057e-11,0.49997928118915774,0.49991352295055996,0.00010719586028228003,6.628401690130085e-07,1.5279027624706636e-07,2.999954211934815e-07,890013584,2.999954211934815e-07,890013584
butterworth_o5_c0.3,3300,2.6138047138047144e-05,0.0,4.272727272727272e-06,4.433221099887767e-07,1.1883810325476988e-05,0.0,0.0,0.0,0.0,0.012225925925925927,2.6138047138047137e-05,4.272727272727273e-06,1.5942251796026016e-09,0.500013299494781,0.49989640369887284,9.029680634618906e-05,2.5367679688667344e-06,2.7277558141755675e-06,3.6706695008594625e-06,890028372,3.956052532629439e-06,890028626
savgol_w7_p3,3300,1.2772166105499441e-06,0.0,1.2772166105499441e-06,9.225308641975307e-07,1.7385521885521881e-06,0.0,0.0,0.0,0.0,0.0005555555555555556,1.277216610549944e-06,1.277216610549944e-06,1.5012418337212558e-09,0.4999699216612797,0.49994785919477275,8.221914394753901e-05,1.9334710692735385e-06,1.5728410790139185e-07,9.75241656905374e-07,890035812,9.797358536861397e-07,890035816
bandpass_fs1000,3300,0.49759662065095395,0.4976277777777778,0.4975920235690236,0.49673041127946127,0.4984577895903479,0.48084074074074074,0.4976277777777778,0.5140064814814815,0.3868740740740741,0.6078777777777777,0.497596620650954,0.49759202356902354,0.5045685738496705,0.4999937636851217,0.49984365734983016,0.00016257896504810084,0.020104132190551943,0.48753552654787224,0.49759028042146597,889960400,0.4975924747416297,889964287
bandpass_fs200,3300,0.49991611223344556,0.4998814814814815,0.4999104747474748,0.4996289409371492,0.5002031966049383,0.49442037037037034,0.4998759259259259,0.5052953703703704,0.4689888888888889,0.530737037037037,0.49991611223344556,0.49991047474747474,0.5032305715584755,0.4999700575996872,0.5000048151406176,2.512725969516093e-05,0.15420143151007348,0.42280724158501937,0.49960107584846936,890081482,0.49960397225782854,890086634
hampel_w5_s3,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49659882104326547,0.49654813286912053,0.006853046087613989,0.0,0.0,0.0,884009042,0.0,884009042
