run_signature,file_name,record_index,frames,features,antennas,input_representation,input_dtype,max_abs_imaginary,raw_is_nonnegative,raw_negative_rate,method,values,finite_values,nonfinite_count,negative_count_strict,negative_rate_strict,negative_count_meaningful,negative_rate_meaningful,negative_energy_fraction,meaningful_negative_tolerance,step_pairs,rising_step_count,rising_step_rate,falling_step_count,falling_step_rate,flat_step_count,flat_step_rate,zero_crossing_count,zero_crossing_rate,negative_negative_pair_count,negative_negative_pair_rate,comparable_abs_slope_count,abs_slope_direction_disagreement_count,abs_slope_direction_disagreement_rate,meaningful_original_slope_count,abs_slope_direction_changed_or_lost_count,abs_slope_direction_changed_or_lost_rate,minimum,p01,p05,median,p95,p99,maximum,mean,std
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,raw,270000,270000,0,0,0.0,0,0.0,0.0,9.778563181602999e-06,269730,134757,0.4995995995995996,134972,0.5003966929892856,1,3.7074111148185224e-06,0,0.0,0,0.0,269729,0,0.0,269729,0,0.0,0.0,2.158025120074646,4.079452622206263,9.77848947369605,18.472001091208423,20.838417040156376,25.9850671495968,10.539072121344727,4.493298536034184
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,wavelet,270000,270000,0,0,0.0,0,0.0,0.0,9.778563181602999e-06,269730,134718,0.4994550105661217,135004,0.5005153301449597,8,2.965928891854818e-05,0,0.0,0,0.0,269722,0,0.0,269722,0,0.0,0.14397720399306,2.202986841586221,4.11319757235707,9.795396198993323,18.265781816386195,20.67249625672684,24.486865961872773,10.53904552500527,4.459044562899507
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,butterworth_o5_c0.3,270000,270000,0,0,0.0,0,0.0,0.0,9.778563181602999e-06,269730,134037,0.49693026359693027,135681,0.5030252474696919,12,4.448893337782227e-05,0,0.0,0,0.0,269718,0,0.0,269718,0,0.0,0.1962167105656165,2.2032541360350897,4.113410418214558,9.79028695124424,18.275030274223475,20.67889685519575,24.46944706054764,10.539059830163891,4.46129883197287
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,savgol_w7_p3,270000,270000,0,0,0.0,0,0.0,0.0,9.778563181602999e-06,269730,134071,0.4970563155748341,135651,0.5029140251362474,8,2.965928891854818e-05,0,0.0,0,0.0,269722,0,0.0,269722,0,0.0,0.17963482967188787,2.206104152048637,4.111599983469007,9.790120796386546,18.29649646677341,20.689246948898685,24.963081468146004,10.539076709074077,4.4633429847604535
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs1000,270000,270000,0,125033,0.4630851851851852,125032,0.4630814814814815,0.5612684844740956,9.778563181602999e-06,269730,134708,0.4994179364549735,135006,0.5005227449671894,16,5.931857783709636e-05,6288,0.02331220108997887,121760,0.45141437734030326,269714,124909,0.46311648635221014,269714,124909,0.46311648635221014,-11.443131701636332,-6.214042060734915,-3.330771173230642,0.12697004946802726,2.8216986371512816,4.866206209065956,9.769853275096372,0.023343203691031968,1.9479199637125368
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,bandpass_fs200,270000,270000,0,135098,0.500362962962963,135097,0.5003592592592593,0.5135721831700761,9.778563181602999e-06,269730,134322,0.49798687576465356,135402,0.5019908797686575,6,2.2244466688911134e-05,29605,0.10975790605420235,120140,0.4454083713342973,269723,134842,0.49992770360703387,269724,134843,0.4999295576218653,-9.226607829701098,-4.2586100139827465,-2.3341388162676817,-0.0010387092493670987,2.3260042192873005,4.04330318471449,8.572757950054104,-0.0016803440599059756,1.4803777952312422
1d3a10c5c49669af,01_01_01.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,hampel_w5_s3,270000,270000,0,0,0.0,0,0.0,0.0,9.778563181602999e-06,269730,134176,0.49744559374189,134430,0.49838727616505396,1124,0.004167130093056019,0,0.0,0,0.0,268606,0,0.0,268606,0,0.0,0.0,2.165767071239407,4.081540811820703,9.77545091618385,18.44919623226883,20.803272018285895,25.9850671495968,10.536101673807789,4.487615777446162
1d3a10c5c49669af,01_01_02.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,raw,270000,270000,0,0,0.0,0,0.0,0.0,9.64990510523992e-06,269730,135056,0.5007081155229304,134673,0.49928817706595485,1,3.7074111148185224e-06,0,0.0,0,0.0,269729,0,0.0,269729,0,0.0,0.0,1.59735310013205,3.6063746133266,9.649614222210165,18.31327360932099,20.3937171991584,26.1434483507066,10.435422847561163,4.545319922049211
1d3a10c5c49669af,01_01_02.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,wavelet,270000,270000,0,0,0.0,0,0.0,0.0,9.64990510523992e-06,269730,134911,0.5001705409112817,134798,0.49975160345530717,21,7.785563341118897e-05,0,0.0,0,0.0,269709,0,0.0,269709,0,0.0,0.005112576090849488,1.626210701880692,3.632566546053541,9.640864095522998,18.116480206328983,20.1523163003723,24.154941215472434,10.435482867339664,4.509641200728156
1d3a10c5c49669af,01_01_02.npy,0,1000,30,9,real_reader_values_nonnegative,float64,0.0,True,0.0,butterworth_o5_c0.3,270000,270000,0,0,0.0,0,0.0,0.0,9.64990510523992e-06,269730,134862,0.49998887776665557,134858,0.49997404812219626,10,3.7074111148185224e-05,0,0.0,0,0.0,269720,0,0.0,269720,0,0.0,0.14075844389702774,1.6241722731335562,3.6308570252838095,9.645406802152262,18.122707750684196,20.15181272266734,24.115244125720874,10.43570358246577,4.511644400067001
