Dataset,Coverage,Matched cells,Linear (%),Polynomial (%),STC (%),Robust (%),Robust vs non-robust mean (pp),Robust last
Widar,320/320,80,69.97348484848483,69.36616161616162,69.59090909090912,59.48358585858584,-10.15993265993266,80/80
Gait,317/320,77,92.83446447816843,90.75637595342815,92.89604980088797,46.37915752942987,-45.783139214731655,77/77
